Start Date : ,05/23/2016
End Date  : ,08/15/2016
""
Username,Category,Activity Count,Percentage

jflory7,Wiki,208,14.68%
jflory7,Fedoratagger,336,23.71%
jflory7,Github,178,12.56%
jflory7,Mailman,28,1.98%
jflory7,Trac,256,18.07%
jflory7,Fedbadges,16,1.13%
jflory7,Fas,89,6.28%
jflory7,Anitya,5,0.35%
jflory7,Planet,8,0.56%
jflory7,Bodhi,2,0.14%
jflory7,Fedocal,12,0.85%
jflory7,Pagure,109,7.69%
jflory7,Askbot,1,0.07%
jflory7,Irc,159,11.22%
jflory7,Fmn,10,0.71%
""
,Total : ,1417
""
